name,type,district,status,total_coverage,unique_coverage,overlap_coverage,overlap_pct
A+A,Clinic,Mchinji,Functional,27032.145622730255,4559.4660267829895,22472.679595947266,83.1331700767803
A.C Opticals,Clinic,Blantyre,Functional,392929.5280881822,0.0,392929.5280881822,100.0
Akwezeke Pvt,Clinic,Blantyre,Functional,197670.55980551243,0.0,197670.55980551243,100.0
Abowa,Clinic,Blantyre,Functional,197670.55980551243,0.0,197670.55980551243,100.0
ABC Clinic,Hospital,Lilongwe,Functional,188436.52451899648,0.0,188436.52451899648,100.0
Achikondi,Dispensary,Lilongwe,Functional,318538.4254686544,0.0,318538.4254686544,100.0
Adventist Health Centre,Hospital,Lilongwe,Functional,318538.4254686544,0.0,318538.4254686544,100.0
Adventist,Health Centre,Lilongwe,Functional,318538.4254686544,0.0,318538.4254686544,100.0
Africa Leaf Clinic Kanengo,Clinic,Lilongwe,Non-functional,175695.05554235727,0.0,175695.05554235727,100.0
AHI,Clinic,Zomba,Functional,129941.94347405434,0.0,129941.94347405434,100.0
Airwing,Clinic,Zomba,Functional,75254.32214307785,0.0,75254.32214307785,100.0
Airwing,Dispensary,Lilongwe,Functional,86958.99224501848,8.689383029937744,86950.30286198854,99.99000749341086
Akalole Clinic,Clinic,Ntcheu,Non-functional,22433.473912715912,15.918681621551514,22417.55523109436,99.92904049687762
Akasale,Hospital,Chiradzulu,Functional,116201.36331027746,0.0,116201.36331027746,100.0
Alinafe,Hospital,Nkhotakota,Functional,16848.625475883484,69.31419372558594,16779.311282157898,99.58860624075953
Alinafe,Clinic,Machinga,Non-functional,23939.219666481018,2539.997116088867,21399.22255039215,89.38980822484663
Alinafe Private Clinic,Clinic,Mangochi,Functional,82461.53395813704,0.0,82461.53395813704,100.0
Alinafe Private Clinic,Clinic,Mchinji,Functional,41984.86334705353,628.6073341369629,41356.256012916565,98.50277627691486
Alliance one Clinic,Clinic,Lilongwe,Functional,230301.44225300103,0.0,230301.44225300103,100.0
Alumenda Estate Clinic,Clinic,Chikwawa,Non-functional,12327.781024694443,0.0,12327.781024694443,100.0
Alumenda,Health Centre,Chikwawa,Functional,24717.23091506958,139.75949430465698,24577.471420764923,99.43456653868355
Amalika,Dispensary,Thyolo,Functional,50257.014142513275,0.0,50257.014142513275,100.0
AMECA (Chilaweni),Clinic,Blantyre,Functional,94090.35188865662,0.0,94090.35188865662,100.0
Anchor Farm,Health Centre,Kasungu,Functional,18649.492908477783,1330.7407140731812,17318.752194404602,92.86446703616136
Anchor Health Centre,Health Centre,Kasungu,Functional,18130.004271507263,20.744824409484863,18109.25944709778,99.8855773881858
Aquid Lifeline Clinic,Clinic,Blantyre,Functional,33638.054904937744,1648.9373860359192,31989.117518901825,95.09800019443493
Area 18,Health Centre,Lilongwe,Functional,295358.76071053,0.0,295358.76071053,100.0
Area 18 Medi clinic,Clinic,Lilongwe,Functional,305709.1095880512,0.0,305709.1095880512,100.0
Area 24 Private Clinic,Clinic,Lilongwe,Non-functional,568463.4205145016,0.0,568463.4205145016,100.0
Banja la mtsogolo,Unclassified,Lilongwe,Functional,319627.9607766345,0.0,319627.9607766345,100.0
Area 25,Health Centre,Lilongwe,Functional,318156.04106963426,0.0,318156.04106963426,100.0
Area 30 clinic,Clinic,Lilongwe,Functional,309709.58610228077,0.0,309709.58610228077,100.0
Area 36 Living Waters,Dispensary,Lilongwe,Functional,512513.7600939702,0.0,512513.7600939702,100.0
Army,Dispensary,Likoma,Non-functional,10878.677229881287,0.0,10878.677229881287,100.0
Chitekwe,Health Centre,Blantyre,Functional,197670.55980551243,0.0,197670.55980551243,100.0
Asante Private Clinic,Clinic,Salima,Functional,74097.3969464302,0.0,74097.3969464302,100.0
Asimec,Clinic,Ntchisi,Functional,31190.109130620956,0.0,31190.109130620956,100.0
Chakunyanja,Clinic,Nkhata Bay,Functional,25408.16037082672,0.0,25408.16037082672,100.0
As-slam clinic,Clinic,Mangochi,Functional,22890.165914535522,663.2268543243408,22226.93906021118,97.10256860172785
Atupele,Hospital,Karonga,Functional,26949.7410902977,12093.560833454132,14856.180256843567,55.12550271658087
Auction Holdings Clinic,Clinic,Blantyre,Functional,352994.1987090111,0.0,352994.1987090111,100.0
Auction,Clinic,Mzimba,Non-functional,187890.17816772684,0.0,187890.17816772684,100.0
Auction Holdings Clinic,Dispensary,Lilongwe,Functional,226074.74365151674,0.0,226074.74365151674,100.0
Ayali Private Clinic,Clinic,Blantyre,Functional,47920.99413895607,0.0,47920.99413895607,100.0
Balaka Banja La Mtsogolo clinic,Clinic,Balaka,Functional,62447.53563952446,0.0,62447.53563952446,100.0
Balaka District Hospital,District Hospital,Balaka,Functional,62162.49752497673,0.0,62162.49752497673,100.0
Dream Clinic,Clinic,Balaka,Functional,61848.00698208809,0.0,61848.00698208809,100.0
Balaka Private Clinic,Clinic,Balaka,Functional,62316.92531609535,432.878306388855,61884.0470097065,99.30535997372603
Maziko,Clinic,Lilongwe,Non-functional,534330.6741727795,0.0,534330.6741727795,100.0
Bangwe,Health Centre,Blantyre,Functional,256010.3049083948,0.0,256010.3049083948,100.0
BLM,Clinic,Nkhata Bay,Closed,25558.852088868618,0.0,25558.852088868618,100.0
Banja Care Clinic,Clinic,Blantyre,Functional,44854.93370342255,0.0,44854.93370342255,100.0
Banja la Mtsogolo,Clinic,Chitipa,Functional,126908.83569097519,0.0,126908.83569097519,100.0
Baptist health centre,Health Centre,Salima,Functional,26046.560928583145,0.0,26046.560928583145,100.0
Bayani,Health Post,Ntcheu,Functional,6394.096673846245,5945.151027560234,448.94564628601074,7.021252089014103
Baylor,Clinic,Lilongwe,Functional,410961.63160389103,0.0,410961.63160389103,100.0
BB Clinic,Clinic,Dedza,Non-functional,44550.81434631348,0.0,44550.81434631348,100.0
Beit Cure,Hospital,Blantyre,Functional,408683.11258015037,0.0,408683.11258015037,100.0
Bereu,Dispensary,Chikwawa,Functional,16699.036632061005,3768.4804401397705,12930.556191921234,77.43294704255845
Bello,Dispensary,Chikwawa,Functional,37261.54111709446,0.0,37261.54111709446,100.0
Belton Kapyepye Memorial Clini,Clinic,Blantyre,Functional,269116.745200485,0.0,269116.745200485,100.0
Bembeke,Health Centre,Dedza,Functional,24434.6422791481,21648.399869441986,2786.2424097061157,11.402836914391106
Chipatala cha boma,Health Centre,Nkhotakota,Functional,22909.955696105957,541.3882160186768,22368.56748008728,97.63688667407288
Kachale,Clinic,Blantyre,Functional,307086.4881644845,0.0,307086.4881644845,100.0
Bethesda,Clinic,Thyolo,Non-functional,54752.79690170288,0.0,54752.79690170288,100.0
Bethsaida,Clinic,Nkhotakota,Functional,22094.84176683426,14409.808991909027,7685.032774925232,34.78202222955471
Bethsaida,Hospital,Lilongwe,Functional,257426.13139821775,0.0,257426.13139821775,100.0
BKM PVT Clinic,Clinic,Blantyre,Functional,431218.4191969335,0.0,431218.4191969335,100.0
Bilal islamic,Hospital,Chiradzulu,Functional,51277.35532152653,0.0,51277.35532152653,100.0
Bilila,Health Centre,Ntcheu,Functional,16524.34440612793,10777.235757827759,5747.108648300171,34.779646968438264
Biliwiri,Health Centre,Ntcheu,Functional,39724.56108999252,0.0,39724.56108999252,100.0
Billy Riordan clinic,Clinic,Mangochi,Functional,13520.26634079218,0.0,13520.26634079218,100.0
Bimbi,Health Centre,Zomba,Functional,31098.28457260132,16404.264461040497,14694.020111560822,47.25025934230073
Blantyre Adventist Hospital,Hospital,Blantyre,Functional,427240.6574587524,0.0,427240.6574587524,100.0
City assembly,Clinic,Blantyre,Functional,392417.1053342521,0.0,392417.1053342521,100.0
Blantyre Dream Project (Mandala),Health Centre,Blantyre,Functional,424606.51481339335,0.0,424606.51481339335,100.0
Blantyre Medicare CityCentre Clinic City Centre Clinic Makadam Pvt Clinic,Clinic,Blantyre,Functional,435463.9813042581,0.0,435463.9813042581,100.0
Blantyre Water Board - Mudi,Clinic,Blantyre,Functional,386712.7593997419,0.0,386712.7593997419,100.0
Waterboard Clinic-Mudi,Unclassified,Blantyre,Functional,75.24223804473876,0.0,75.24223804473876,100.0
Blessings,Hospital,Lilongwe,Functional,53879.14434051514,2835.6920709609985,51043.45226955414,94.73693930059565
Bliss,Dispensary,Salima,Functional,72551.31939435005,47.996699810028076,72503.32269454002,99.93384448386232
Banja la mtsogolo,Clinic,Thyolo,Functional,58950.379199266434,0.0,58950.379199266434,100.0
Banja la mtsogolo,Clinic,Lilongwe,Functional,471804.17941080965,0.0,471804.17941080965,100.0
Kawale Banja la mtsogolo,Clinic,Lilongwe,Functional,521578.8410988394,0.0,521578.8410988394,100.0
Banja la Mtsongolo,Clinic,Machinga,Non-functional,44114.515442728996,0.0,44114.515442728996,100.0
BLM Lunzu,Clinic,Blantyre,Functional,45265.172892570496,0.0,45265.172892570496,100.0
BLM,Clinic,Mchinji,Non-functional,42748.8280851841,0.0,42748.8280851841,100.0
Midima BLM,Dispensary,Chiradzulu,Non-functional,248152.36999869347,0.0,248152.36999869347,100.0
