Field,Label,Value
id,Dataset ID,8c2c0b1f-66af-4a8e-b30e-59ad2249ee24
title,Title of Dataset,Malawi: High Resolution Population Density Maps
name,Dataset URL,highresolutionpopulationdensitymaps-mwi
notes,Description,V1.5 The world's most accurate population datasets. Seven maps/datasets for the distribution of various populations in Malawi: (1) Overall population density (2) Women (3) Men (4) Children (ages 0-5) (5) Youth (ages 15-24) (6) Elderly (ages 60+) (7) Women of reproductive age (ages 15-49).
dataset_source,Source,Data for Good at Meta
organization,Contributor,AI and Data for Good at Meta
dataset_date,Reference Period,[2019-05-20T00:00:00 TO 2021-08-07T23:59:59]
last_modified,Updated,2021-08-07T00:34:07.945440
data_update_frequency,Expected Update Frequency,Never
groups,Location,Malawi
license_title,License,Creative Commons Attribution International (CC BY)
methodology,Methodology,Other
methodology_other,Define Methodology,"To create our high-resolution maps, we use machine learning techniques to identify buildings from commercially available satellite images. Then we work with our partners at Columbia University to overlay general population estimates based on publicly available census data and other population statistics. The resulting maps are the most detailed and actionable tools available for aid and research organizations. For more information about the methodology used to create our high resolution population density maps and the demographic distributions, please visit: https://dataforgood.fb.com/docs/methodology-high-resolution-population-density-maps-demographic-estimates/

For information about how to use HDX to access these datasets, please visit: https://dataforgood.fb.com/docs/high-resolution-population-density-maps-demographic-estimates-documentation/

Adjustments to match the census population with the UN estimates are applied at the national level. The UN estimate for a given country (or state/territory) is divided by the total census estimate of population for the given country. The resulting adjustment factor is multiplied by each administrative unit census value for the target year. This preserves the relative population totals across administrative units while matching the UN total. More information can be found here: https://dataforgood.fb.com/docs/census-information-for-high-resolution-population-density-maps/"
caveats,Caveats/Comments,"To reference this data, please use the following citation: Facebook Connectivity Lab and Center for International Earth Science Information Network - CIESIN - Columbia University. 2016. High Resolution Settlement Layer (HRSL). Source imagery for HRSL © 2016 DigitalGlobe. Accessed DAY MONTH YEAR.""
Please note that as of 2024, Meta’s high resolution population density maps are no longer being updated."
tags,Tags,"baseline population, children, elderly, geodata, health, women, youth"
resource_1_created,Created,2019-04-18T13:10:40.990044
resource_1_description,Description,
resource_1_format,File Format,GeoTIFF
resource_1_download_url,Download URL,https://data.humdata.org/dataset/8c2c0b1f-66af-4a8e-b30e-59ad2249ee24/resource/d83a3bad-b72a-4e4e-9be9-93b4c654ac0f/download/mwi_general_2020_geotiff.zip
resource_1_id,Resource ID,d83a3bad-b72a-4e4e-9be9-93b4c654ac0f
resource_1_last_modified,Updated,2021-08-07T00:26:20.529206
resource_1_metadata_modified,Metadata Updated,2023-03-03T03:32:24.793528
resource_1_microdata,Microdata,False
resource_1_dataset_id,Dataset ID,8c2c0b1f-66af-4a8e-b30e-59ad2249ee24
resource_1_resource_type,Resource Type,file.upload
resource_1_name,Resource Name,mwi_general_2020_geotiff.zip
resource_1_mimetype,MIME Type,application/zip
resource_1_size,Size,19.8M
resource_2_created,Created,2019-05-20T20:19:26.925408
resource_2_description,Description,
resource_2_format,File Format,CSV
resource_2_download_url,Download URL,https://data.humdata.org/dataset/8c2c0b1f-66af-4a8e-b30e-59ad2249ee24/resource/18dc65b1-f84f-4248-9068-5057e14e9fe9/download/mwi_general_2020_csv.zip
resource_2_id,Resource ID,18dc65b1-f84f-4248-9068-5057e14e9fe9
resource_2_last_modified,Updated,2021-08-07T00:26:58.816913
resource_2_metadata_modified,Metadata Updated,2025-04-08T17:41:21.125263
resource_2_microdata,Microdata,False
resource_2_dataset_id,Dataset ID,8c2c0b1f-66af-4a8e-b30e-59ad2249ee24
resource_2_resource_type,Resource Type,file.upload
resource_2_name,Resource Name,mwi_general_2020_csv.zip
resource_2_mimetype,MIME Type,application/zip
resource_2_size,Size,23.6M
resource_3_created,Created,2021-08-07T00:27:36.741109
resource_3_description,Description,
resource_3_format,File Format,CSV
resource_3_download_url,Download URL,https://data.humdata.org/dataset/8c2c0b1f-66af-4a8e-b30e-59ad2249ee24/resource/fee5c974-cc51-4e05-89df-c6df10c2fc60/download/mwi_youth_15_24_2020_csv.zip
resource_3_id,Resource ID,fee5c974-cc51-4e05-89df-c6df10c2fc60
resource_3_last_modified,Updated,2021-08-07T00:27:36.289965
resource_3_metadata_modified,Metadata Updated,2025-04-08T17:41:25.619969
resource_3_microdata,Microdata,False
resource_3_dataset_id,Dataset ID,8c2c0b1f-66af-4a8e-b30e-59ad2249ee24
resource_3_resource_type,Resource Type,file.upload
resource_3_name,Resource Name,mwi_youth_15_24_2020_csv.zip
resource_3_mimetype,MIME Type,application/zip
resource_3_size,Size,23.7M
resource_4_created,Created,2021-08-07T00:28:13.940741
resource_4_description,Description,
resource_4_format,File Format,CSV
resource_4_download_url,Download URL,https://data.humdata.org/dataset/8c2c0b1f-66af-4a8e-b30e-59ad2249ee24/resource/6bbe77b4-54df-4035-a8a0-7168f78b5bae/download/mwi_women_of_reproductive_age_15_49_2020_csv.zip
resource_4_id,Resource ID,6bbe77b4-54df-4035-a8a0-7168f78b5bae
resource_4_last_modified,Updated,2021-08-07T00:28:13.418102
resource_4_metadata_modified,Metadata Updated,2025-04-08T17:41:26.301884
resource_4_microdata,Microdata,False
resource_4_dataset_id,Dataset ID,8c2c0b1f-66af-4a8e-b30e-59ad2249ee24
resource_4_resource_type,Resource Type,file.upload
resource_4_name,Resource Name,mwi_women_of_reproductive_age_15_49_2020_csv.zip
resource_4_mimetype,MIME Type,application/zip
resource_4_size,Size,23.7M
resource_5_created,Created,2021-08-07T00:28:52.355349
resource_5_description,Description,
resource_5_format,File Format,CSV
