facility_1_id,facility_1_name,facility_1_type,facility_1_district,facility_2_id,facility_2_name,facility_2_type,facility_2_district,distance_km
0,A+A,Clinic,Mchinji,203,Ali,Clinic,Lilongwe,7.697339457286081
0,A+A,Clinic,Mchinji,79,Blessings,Hospital,Lilongwe,7.438221424675163
0,A+A,Clinic,Mchinji,1216,Victory Medical Clinic,Clinic,Lilongwe,8.272527201306442
0,A+A,Clinic,Mchinji,657,Chinkhuti,Health Centre,Lilongwe,9.222617484072838
0,A+A,Clinic,Mchinji,658,Lumbadzi Masm,Clinic,Lilongwe,9.086427131817075
0,A+A,Clinic,Mchinji,1589,Chuzu,Health Post,Dowa,7.747401638904685
0,A+A,Clinic,Mchinji,521,kaputalambwe,Health Post,Dowa,3.829619815038816
0,A+A,Clinic,Mchinji,926,Daeyang,Health Centre,Lilongwe,3.267706699032926
0,A+A,Clinic,Mchinji,276,Chiwamba,Health Centre,Lilongwe,8.138042233843958
1,A.C Opticals,Clinic,Blantyre,1391,Blantyre,Clinic,Blantyre,9.419976490118888
1,A.C Opticals,Clinic,Blantyre,180,Chilani,Health Centre,Blantyre,4.048391342459828
1,A.C Opticals,Clinic,Blantyre,197,Chilomoni,Health Centre,Blantyre,6.087992591689393
1,A.C Opticals,Clinic,Blantyre,196,Chilomoni pvt clinic,Clinic,Blantyre,5.9263471758752555
1,A.C Opticals,Clinic,Blantyre,409,Hasco Clinic,Clinic,Blantyre,3.578561737279995
1,A.C Opticals,Clinic,Blantyre,807,Mbayani health Centre,Clinic,Blantyre,4.133639927814538
1,A.C Opticals,Clinic,Blantyre,194,Chilobwe Private Clinic,Clinic,Blantyre,4.397878316389662
1,A.C Opticals,Clinic,Blantyre,386,Girach,Hospital,Blantyre,3.040843249298765
1,A.C Opticals,Clinic,Blantyre,1355,White Dove,Clinic,Blantyre,4.888355983332724
1,A.C Opticals,Clinic,Blantyre,1650,COM,Clinic,Blantyre,2.659417600111515
1,A.C Opticals,Clinic,Blantyre,808,Mbayani Health Care Clinic,Clinic,Blantyre,4.693079761087505
1,A.C Opticals,Clinic,Blantyre,976,Banja Clinic,Clinic,Blantyre,6.842751514372011
1,A.C Opticals,Clinic,Blantyre,1337,Ungweru,Clinic,Blantyre,6.419994762785291
1,A.C Opticals,Clinic,Blantyre,60,Belton Kapyepye Memorial Clini,Clinic,Blantyre,3.935782031991852
1,A.C Opticals,Clinic,Blantyre,324,Dr. Dzinyemba,Clinic,Blantyre,2.940241726839846
1,A.C Opticals,Clinic,Blantyre,323,Chilemba,Clinic,Blantyre,3.47107021678313
1,A.C Opticals,Clinic,Blantyre,383,Gatrad Mahomed I,Hospital,Blantyre,2.919719208995651
1,A.C Opticals,Clinic,Blantyre,1199,DREAM Saint Egidio,Clinic,Blantyre,5.425125135761619
1,A.C Opticals,Clinic,Blantyre,1328,Ulemu,Clinic,Blantyre,4.059647415195951
1,A.C Opticals,Clinic,Blantyre,158,Chifundo private clinic,Clinic,Blantyre,5.99479122472776
1,A.C Opticals,Clinic,Blantyre,67,BKM PVT Clinic,Clinic,Blantyre,2.924654777347817
1,A.C Opticals,Clinic,Blantyre,1697,Nancholi,Health Centre,Blantyre,7.168566770357702
1,A.C Opticals,Clinic,Blantyre,73,Blantyre Adventist Hospital,Hospital,Blantyre,3.480569916175864
1,A.C Opticals,Clinic,Blantyre,660,Mitsidi,Health Centre,Blantyre,7.036266226820336
1,A.C Opticals,Clinic,Blantyre,1274,Sunny Side B,Clinic,Blantyre,3.5951005290269062
1,A.C Opticals,Clinic,Blantyre,92,Banja Lamtsogolo,Clinic,Blantyre,3.209817207061311
1,A.C Opticals,Clinic,Blantyre,1710,BKM,Clinic,Blantyre,4.225910826666277
1,A.C Opticals,Clinic,Blantyre,1156,Joshua Clinic,Health Centre,Blantyre,7.5714842803025
